type,time,exchange,competitor,odds,backer,layer,stake
Trade,32.44546890258789,0,4,1.1,19,57,15
Trade,32.62707471847534,0,4,1.1,15,59,15
Trade,32.847317934036255,0,4,1.1,10,58,15
Trade,33.06769132614136,0,4,1.1,13,55,15
Trade,33.321133852005005,0,4,1.1,14,57,15
Trade,33.3291130065918,0,4,1.1,12,58,15
Trade,33.48200011253357,0,4,1.1,16,59,15
Trade,33.485708475112915,0,4,1.1,18,56,15
Trade,33.91501045227051,0,4,1.1,17,55,15
Trade,35.90850830078125,0,4,1.1,19,58,15
Trade,36.19162607192993,0,4,1.1,11,56,15
Trade,36.56694936752319,0,4,1.1,15,57,15
Trade,36.58061385154724,0,4,1.1,10,59,15
Trade,36.63950181007385,0,4,1.1,13,55,15
Trade,37.093178510665894,0,4,1.1,41,58,15
Trade,37.23389172554016,0,4,1.1,49,56,15
Trade,37.85808610916138,0,4,1.1,17,55,15
Trade,37.87602734565735,0,4,1.1,16,57,15
Trade,37.914164781570435,0,4,1.1,18,59,15
Trade,38.39577341079712,0,4,1.1,12,58,15
Trade,38.76142954826355,0,4,1.1,14,56,15
Trade,39.000810623168945,0,4,1.1,19,57,15
Trade,39.094528675079346,0,4,1.1,11,59,15
Trade,39.1034734249115,0,4,1.1,15,55,15
Trade,39.233943939208984,0,4,1.1,10,58,15
Trade,39.864603757858276,0,4,1.1,13,55,15
Trade,39.898699045181274,0,4,1.1,16,56,15
Trade,40.04370880126953,0,4,1.1,18,57,15
Trade,40.23873233795166,0,4,1.1,17,59,15
Trade,40.24949073791504,0,4,1.1,12,58,15
Trade,43.35569167137146,0,4,1.1,14,55,15
Trade,43.45525813102722,0,4,1.1,19,57,15
Trade,43.52286672592163,0,4,1.1,15,59,15
Trade,43.60432410240173,0,4,1.1,11,56,15
Trade,43.74136757850647,0,4,1.1,10,58,15
Trade,44.45337438583374,0,4,1.1,17,59,15
Trade,44.67943096160889,0,4,1.1,12,55,15
Trade,44.84575843811035,0,4,1.1,18,57,15
Trade,45.0088849067688,0,4,1.1,40,56,15
Trade,45.57998538017273,0,4,1.1,13,58,15
Trade,45.608344316482544,0,4,1.1,16,59,15
Trade,46.02400302886963,0,4,1.1,14,55,15
Trade,46.0936324596405,0,4,1.1,19,57,15
Trade,47.001522064208984,0,4,1.1,15,59,15
Trade,47.00208497047424,0,4,1.1,11,56,15
Trade,47.002415895462036,0,4,1.1,10,55,15
Trade,47.00255513191223,0,4,1.1,17,58,15
Trade,47.00334143638611,0,4,1.1,12,57,15
Trade,47.02583932876587,0,4,1.1,18,59,15
Trade,47.026238679885864,0,4,1.1,13,56,15
Trade,47.0334358215332,0,4,1.1,16,57,15
Trade,47.03381705284119,0,4,1.1,19,58,15
Trade,47.03412485122681,0,4,1.1,14,56,15
Trade,47.03472924232483,0,4,1.1,15,59,15
Trade,47.034934997558594,0,4,1.1,11,55,15
